ID,ISO_Code,Year,Temperature_change,Drought,Extreme_temperature,Flood,Landslide,Storm,TOTAL,Wildfire
433,28.0,2021,0.862,,,,,,,
434,28.0,2022,0.77,,,,,,,
435,31.0,1961,,,,,,,,
436,31.0,1962,,,,,,,,
437,31.0,1963,,,,,,,,
438,31.0,1964,,,,,,,,
439,31.0,1965,,,,,,,,
440,31.0,1966,,,,,,,,
441,31.0,1967,,,,,,,,
442,31.0,1968,,,,,,,,
443,31.0,1969,,,,,,,,
444,31.0,1970,,,,,,,,
445,31.0,1971,,,,,,,,
446,31.0,1972,,,,,,,,
447,31.0,1973,,,,,,,,
448,31.0,1974,,,,,,,,
449,31.0,1975,,,,,,,,
450,31.0,1976,,,,,,,,
451,31.0,1977,,,,,,,,
452,31.0,1978,,,,,,,,
453,31.0,1979,,,,,,,,
454,31.0,1980,,,,,,,,
455,31.0,1981,,,,,,,,
456,31.0,1982,,,,,,,,
457,31.0,1983,,,,,,,,
458,31.0,1984,,,,,,,,
459,31.0,1985,,,,,,,,
460,31.0,1986,,,,,,,,
461,31.0,1987,,,,,,,,
462,31.0,1988,,,,,,,,
463,31.0,1989,,,,,,,,
464,31.0,1990,,,,,,,,
465,31.0,1991,,,,,,,,
466,31.0,1992,-0.839,,,,,,,
467,31.0,1993,-1.009,,,,,,,
468,31.0,1994,0.098,,,,,,,
469,31.0,1995,1.012,,,3.0,,,3.0,
470,31.0,1996,0.244,,,,,,,
471,31.0,1997,0.582,,,1.0,,,1.0,
472,31.0,1998,1.184,,,,,,,
473,31.0,1999,1.224,,,,,,,
474,31.0,2000,1.098,1.0,,,1.0,,2.0,
475,31.0,2001,1.401,,,,,,,
476,31.0,2002,1.432,,,,,,,
477,31.0,2003,-0.147,,,1.0,,,1.0,
478,31.0,2004,1.303,,,,,,,
479,31.0,2005,0.814,,,,,,,
480,31.0,2006,1.488,,,,,,,
481,31.0,2007,0.958,,,,,,,
482,31.0,2008,0.883,,,,,,,
483,31.0,2009,0.78,,,1.0,,,1.0,
484,31.0,2010,2.327,,,1.0,,,1.0,
485,31.0,2011,0.766,,,,,,,
486,31.0,2012,1.474,,1.0,,,,1.0,
487,31.0,2013,1.574,,,,,,,
488,31.0,2014,1.252,,,,,,,
489,31.0,2015,1.672,,,,,,,
490,31.0,2016,1.53,,,,,,,
491,31.0,2017,1.308,,,,,,,
492,31.0,2018,2.24,,,,,,,
493,31.0,2019,1.997,,,,,,,
494,31.0,2020,2.015,,,,,,,
495,31.0,2021,2.061,,,,,,,
496,31.0,2022,2.08,,,,,,,
